,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,macro_factor,macro_factor,macro_factor,macro_factor,macro_factor,macro_factor,macro_factor
,上证50,沪深300,中证500,中证1000,恒生指数,中债国债,中债企业债,中证转债,布伦特原油,沪金,标普500,美元兑人民币,增长因子,通胀因子,利率因子,信用因子,汇率因子,地缘因子,流动性因子
2021-06-18,-3.475862,-2.367400,-1.018428,0.156641,-0.141772,0.061414,0.041661,-1.658159,0.768285,-4.806976,-1.925203,0.858280,-6.952051,-0.902267,0.091831,-0.096639,1.827291,0.906166,1.149213
2021-06-25,2.301518,2.659144,2.310962,1.972259,1.676594,0.294793,0.120532,1.979220,2.803040,-0.059218,2.705219,0.365372,2.137675,-1.207118,-0.271115,1.109466,-0.456430,1.947581,-0.746631
2021-07-02,-3.652353,-3.078427,-2.306742,-1.315651,-3.395549,0.066731,0.197442,-0.968924,0.952262,0.333316,1.659700,-0.052561,-0.533749,2.485058,0.016591,0.206003,0.456430,1.418302,1.332760
2021-07-09,-1.377959,-0.230155,2.176399,3.330365,-3.471310,0.455083,0.300842,1.874330,-0.620587,1.369921,0.394639,0.331877,1.612239,3.131680,-0.527808,0.870648,-0.108490,-0.697129,1.513713
2021-07-16,0.246721,0.498554,1.756592,1.189388,2.385480,0.395069,0.364033,1.344196,-3.134716,0.974641,-0.974851,-0.447902,-0.263269,1.472922,-0.371980,-0.034252,0.606002,-2.131682,0.468701
2021-07-23,-0.370191,-0.108896,0.871655,2.073273,-2.468013,0.272265,0.214080,1.394236,1.127959,-0.911132,1.936904,0.148489,1.709389,2.518980,-0.272503,0.800824,0.237070,1.127398,0.533819
2021-07-30,-6.924699,-5.618585,-3.176781,-1.603731,-5.109498,0.339050,0.149120,-0.885911,1.635206,1.178155,-0.375388,-0.222824,0.731397,0.036085,-0.344463,0.371656,-0.799664,1.166495,2.609649
2021-08-06,1.987103,2.268627,2.503410,2.981538,0.837631,0.114540,0.211941,1.254614,-6.792989,-1.740550,0.934366,0.077428,-1.550068,5.531911,-0.214388,-0.265201,0.681199,-4.833971,-0.205632
2021-08-13,0.690449,0.494916,2.138984,2.112510,0.807366,-0.247530,0.077556,1.107927,-0.142389,-2.113152,0.707059,0.278239,0.588667,-4.003356,0.408121,-1.096381,-0.302187,0.747161,0.052151
2021-08-20,-4.613484,-3.638290,-2.410911,-2.310683,-6.019997,0.187238,0.147982,-1.097914,-7.790763,2.006684,-0.591047,0.237434,-3.760464,-8.540439,-0.219530,0.425794,1.053664,-6.645714,0.686884
2021-08-27,1.623521,1.204123,3.689518,2.808805,2.221319,-0.045271,0.013557,1.806008,9.807899,0.605354,1.512707,-0.203478,4.264471,2.998980,0.123323,-0.066775,-0.870082,9.074131,0.561104
2021-09-10,2.378568,3.459150,4.420794,3.878922,1.166516,-0.111846,0.021452,2.083185,0.605479,-0.806328,-1.708959,-0.017042,1.030510,-2.145744,0.197511,-0.396678,0.584988,-0.002445,-0.762603
2021-09-17,-2.819005,-3.193596,-2.827711,-2.584944,-5.028377,0.010209,0.020865,-2.642884,3.438618,-2.055604,-0.575599,0.035633,-3.323288,-0.550006,0.071518,-0.520042,0.667453,2.085690,1.086272
2021-09-24,-0.533057,-0.134194,-0.205483,-0.448676,-2.967258,0.144007,0.039244,0.198183,2.228431,-0.294022,0.506044,0.020130,0.814917,-4.327489,-0.100659,0.290663,0.139393,1.705981,0.114694
2021-10-01,1.636055,0.349019,-3.822285,-3.843324,1.572714,0.081688,0.012900,-1.586755,2.685927,-1.096562,-2.234186,-0.192200,-2.052843,-0.539827,0.017850,0.523883,0.757861,3.002329,-1.431517
2021-10-22,0.704528,0.558381,0.027160,1.191016,3.093918,-0.081253,0.080467,0.665338,-0.094395,-0.403411,1.631083,-0.735736,-3.758212,4.193150,0.083486,-0.492591,-0.351908,-0.510923,-0.219990
2021-10-29,-1.545242,-1.032689,-0.050809,-0.717445,-2.911387,0.053097,0.236038,0.235502,-1.486618,-0.161821,1.321946,-0.021905,-1.878096,6.075974,-0.131592,-0.152860,0.543337,-1.142513,-0.348531
2021-11-05,-2.031453,-1.362409,-0.436566,0.057963,-2.016995,0.497572,0.264734,0.647220,-1.144798,0.339522,1.981163,0.093847,-0.450455,3.484055,-0.541004,1.185212,0.212266,-2.277936,1.620749
2021-11-12,0.591771,0.946062,2.328334,4.086377,1.822651,-0.043056,0.087608,2.630814,-0.681019,3.140566,-0.312987,-0.107929,2.471840,3.551287,0.176543,-0.379549,0.855110,0.407761,0.932113
2021-11-19,-0.237509,0.034423,0.185154,1.367044,-1.103669,0.119347,0.146580,0.492006,-4.275594,-0.224444,0.322144,-0.070451,-0.593402,1.832209,-0.084071,0.147897,0.983274,-3.526937,0.403755
2021-11-26,-0.798409,-0.613960,0.694748,1.740659,-3.946938,0.300982,0.150685,0.684298,-9.058372,-2.658210,-2.224228,0.015659,-0.791556,0.346759,-0.337072,0.953133,0.020812,-7.802171,1.036564
2021-12-03,1.063052,0.837837,1.130108,1.041980,-1.311824,-0.187923,0.121411,1.684774,-2.256159,-1.835908,-1.230490,-0.162994,-0.082188,0.243415,0.268603,-0.721764,0.031223,-1.895815,-0.277932
2021-12-10,4.022046,3.095806,0.064743,-0.937058,0.959054,0.167154,0.137782,-0.654270,6.994317,-0.082019,3.753552,0.014120,-0.550632,-2.531924,-0.153220,0.563904,-0.072852,5.529644,-1.989976
2021-12-17,-2.253565,-2.005227,0.108254,-0.694583,-3.404092,0.091937,0.110337,0.180756,-3.284745,1.939389,-1.958344,-0.145958,0.966346,0.960363,-0.007630,1.077268,0.539921,-3.484162,-4.676428
2021-12-24,0.345160,-0.676686,-0.490691,-1.499603,0.134129,0.156671,0.044560,0.699086,3.722615,0.209020,2.250150,0.025130,0.727373,-1.164741,-0.138400,0.512397,-0.571166,2.922314,-0.231925
2021-12-31,-0.484878,0.385897,1.101871,2.961121,0.746055,0.375113,0.166254,0.328242,3.076765,0.304707,0.851043,0.051797,1.489453,-4.791611,-0.304302,1.024745,-0.365172,2.594347,0.965697
2022-01-07,-1.571508,-2.417553,-2.528171,-4.176055,0.408219,-0.058587,0.152066,-0.385737,4.800120,-1.766241,-1.888194,0.153677,-1.492187,0.994741,0.192149,-1.200097,0.073141,4.790173,-0.382589
2022-01-14,-2.647683,-2.003125,-1.326192,-0.095403,3.718066,0.265018,0.165393,-1.252375,5.476255,1.734210,-0.303638,-0.373625,0.380273,-1.896787,-0.233423,0.188144,-0.597141,4.942017,1.326426
2022-01-21,2.506981,1.106297,-1.487107,-3.805887,2.359762,0.739290,0.265039,0.835117,1.586058,0.967064,-5.849063,-0.292969,1.122765,-7.316449,-0.578024,1.483847,0.492639,1.670533,-1.971941
2022-01-28,-5.252934,-4.614755,-5.844870,-5.791078,-5.836770,0.074615,0.152842,-1.585690,1.325273,-2.170280,0.768089,0.431280,-2.819505,0.957972,-0.027074,-0.418759,1.689945,1.154874,0.818362
2022-02-18,0.631491,1.077347,1.325464,3.051426,-2.351917,-0.007554,0.031929,-3.059158,-1.537106,2.992821,-1.591592,-0.264808,1.231332,-3.298275,0.028763,0.306139,-0.041642,-2.361574,0.686661
2022-02-25,-2.796889,-1.687061,-0.228365,1.507718,-6.629596,-0.111933,-0.033963,0.403236,1.009734,1.228712,0.819371,-0.142156,0.426752,-1.658900,0.137419,-1.085994,0.602101,0.786293,1.668055
2022-03-04,-0.430273,-1.697863,-0.228976,-1.648873,-3.859200,-0.148418,-0.064931,-1.521794,22.187371,0.819280,-1.280322,-0.120193,5.397469,4.430919,0.242303,-1.029185,2.079246,20.084625,-0.282611
2022-03-11,-4.225257,-4.315313,-4.967250,-3.524522,-6.368271,0.299725,-0.154784,-3.236449,-5.153854,2.536975,-2.919636,0.025313,-4.179346,-1.145945,-0.121390,2.224348,0.475302,-4.699384,1.221608
2022-03-18,-0.769349,-0.947697,-2.216336,-1.606536,4.092479,-0.014659,0.064558,0.926653,-7.748919,-2.218206,5.973790,0.390014,2.400236,5.152022,0.044720,0.318194,-0.901956,-7.002200,-0.020796
2022-03-25,-1.967509,-2.164133,-1.015512,-0.869444,-0.035121,-0.067606,0.052867,-2.276303,11.503790,1.454389,1.775271,0.327257,-0.379294,0.631773,0.062275,-0.081227,0.588709,10.855704,0.766158
2022-04-01,2.994048,2.404263,1.524368,-0.694640,2.921963,0.145654,0.169639,1.657014,-10.908036,-1.363498,0.061609,-0.431320,-0.150067,1.344261,-0.149794,0.423226,-0.182334,-10.163932,-1.390912
2022-04-08,-0.605004,-1.067164,-2.230739,-2.956803,-0.763087,0.223759,0.215076,-0.503679,-2.061729,-0.055535,-1.274739,0.327597,1.149038,8.614483,-0.214956,0.112173,1.179277,-1.860235,-0.644969
2022-04-15,0.173734,-0.998166,-2.494959,-4.673250,-1.631423,0.050923,0.204728,-0.761561,8.012546,2.439450,-2.155051,0.277924,0.195647,-6.390097,-0.010385,-0.354176,0.519686,7.293388,-0.988077
